lang	model	PER p	PER r	PER f1	 PER n	LOC p	LOC r	LOC f1	 LOC n	ORG p	ORG r	ORG f1	 ORG n	Total p	Total r	Total f1	 Total acc
cs.pl.ru	cs.pl.ru	0.9516990291262136	0.9589141599413059	0.9552929711292484	4089	0.9609654912313784	0.9671664452457772	0.9640559969731365	5269	0.9002904162633107	0.9223902801884454	0.9112063686466627	4033	0.9309331833239578	0.9409906494819308	0.9359348980425426	0.9865505969945976
cs	cs.pl.ru	0.9747416762342136	0.9647727272727272	0.9697315819531698	880	0.9801429706115965	0.9793650793650793	0.979753870583565	1260	0.9533437013996889	0.9445300462249615	0.9489164086687307	649	0.9712252475247525	0.9628834355828221	0.9670363524337646	0.9930925544162138
pl	cs.pl.ru	0.9758418740849195	0.9794268919911829	0.9776310964429776	1361	0.9712343096234309	0.9717425431711146	0.9714883599267591	1911	0.943094250148192	0.9549819927971188	0.9490008947211452	1666	0.9563673262303399	0.9625531914893617	0.9594502884289108	0.9919159855822716
ru	cs.pl.ru	0.9235262878385555	0.941017316017316	0.9321897614580542	1848	0.9404315196998124	0.955672068636797	0.9479905437352247	2098	0.8412874583795783	0.8824214202561118	0.8613636363636364	1718	0.8899912459877444	0.9113999701180338	0.9005683915257992	0.9780679655133804
